Read 1:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.043	0.041	0.043	0.039	0.039	0.035							Read 1:350
B	0.039	0.039	0.039	0.042	0.039	0.044							Read 1:350
C	0.039	0.041	0.041	0.040	0.040	0.044							Read 1:350
D	0.045	0.047	0.046	0.044	0.041	0.045							Read 1:350
E	0.044	0.041	0.043	0.042	0.046	0.058							Read 1:350
F	0.044	0.043	0.050	0.042	0.043	0.041							Read 1:350
G	0.042	0.038	0.040	0.040	0.042	0.042							Read 1:350
H	0.032	0.032	0.032	0.041	0.040	0.041							Read 1:350

Read 3:350
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.100	0.098	0.103	0.041	0.042	0.043							Read 3:350
B	0.089	0.088	0.089	0.100	0.093	0.100							Read 3:350
C	0.061	0.064	0.064	0.076	0.080	0.086							Read 3:350
D	0.049	0.051	0.051	0.049	0.047	0.050							Read 3:350
E	0.090	0.086	0.088	0.086	0.092	0.097							Read 3:350
F	0.051	0.056	0.052	0.078	0.075	0.076							Read 3:350
G	0.113	0.107	0.109	0.108	0.114	0.111							Read 3:350
H	0.035	0.035	0.035	0.145	0.129	0.106							Read 3:350

Read 2:350

Kinetic read	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6

Read 4:350

Kinetic read	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
0:00.00	0.060	0.060	0.066	0.036	0.040	0.039	0.059	0.059	0.063	0.084	0.070	0.077	0.047	0.056	0.049	0.061	0.058	0.099	0.047	0.053	0.051	0.055	0.050	0.075	0.059	0.058	0.069	0.059	0.074	0.142	0.060	0.054	0.065	0.063	0.059	0.056	0.073	0.071	0.070	0.062	0.080	0.062	0.045	0.152	0.045	1.024	0.998	0.848
0:00.09	0.059	0.059	0.064	0.036	0.039	0.039	0.059	0.059	0.062	0.084	0.070	0.078	0.047	0.055	0.049	0.061	0.058	0.100	0.047	0.052	0.051	0.055	0.050	0.074	0.059	0.059	0.068	0.059	0.073	0.141	0.059	0.053	0.067	0.062	0.059	0.056	0.071	0.069	0.070	0.061	0.081	0.063	0.274	0.692	0.245	1.024	0.999	0.847
0:00.18	0.058	0.058	0.063	0.036	0.039	0.039	0.059	0.059	0.062	0.083	0.070	0.078	0.047	0.055	0.049	0.061	0.058	0.099	0.047	0.053	0.051	0.054	0.050	0.075	0.058	0.059	0.067	0.060	0.074	0.140	0.058	0.053	0.067	0.061	0.059	0.055	0.069	0.068	0.069	0.060	0.081	0.064	0.413	0.716	0.269	1.022	1.000	0.843
0:00.27	0.058	0.057	0.063	0.036	0.039	0.039	0.058	0.059	0.062	0.083	0.070	0.078	0.046	0.055	0.049	0.061	0.057	0.098	0.046	0.053	0.051	0.054	0.051	0.074	0.057	0.059	0.067	0.060	0.074	0.139	0.059	0.053	0.067	0.061	0.058	0.055	0.068	0.067	0.069	0.060	0.081	0.064	0.389	0.683	0.252	1.020	0.999	0.844
0:00.36	0.058	0.057	0.062	0.036	0.039	0.039	0.058	0.058	0.061	0.082	0.069	0.078	0.046	0.054	0.049	0.061	0.057	0.097	0.046	0.053	0.051	0.055	0.051	0.076	0.057	0.059	0.066	0.061	0.074	0.139	0.059	0.053	0.067	0.061	0.058	0.055	0.067	0.067	0.068	0.059	0.081	0.064	0.384	0.700	0.260	1.021	1.002	0.846
0:00.45	0.058	0.056	0.061	0.036	0.038	0.039	0.058	0.058	0.061	0.082	0.069	0.077	0.045	0.054	0.049	0.061	0.056	0.097	0.046	0.052	0.051	0.054	0.050	0.075	0.056	0.058	0.066	0.061	0.074	0.138	0.059	0.052	0.067	0.061	0.058	0.055	0.066	0.066	0.067	0.059	0.080	0.064	0.380	0.688	0.260	1.021	1.001	0.844
0:00.54	0.057	0.056	0.060	0.036	0.038	0.039	0.057	0.058	0.061	0.081	0.068	0.077	0.045	0.053	0.048	0.061	0.056	0.097	0.046	0.053	0.051	0.054	0.049	0.075	0.056	0.058	0.066	0.061	0.074	0.138	0.059	0.052	0.067	0.061	0.058	0.054	0.066	0.066	0.067	0.058	0.080	0.064	0.374	0.684	0.258	1.021	0.996	0.846
0:00.63	0.057	0.055	0.060	0.036	0.039	0.039	0.057	0.057	0.061	0.081	0.068	0.077	0.045	0.053	0.048	0.061	0.056	0.095	0.046	0.052	0.051	0.055	0.048	0.075	0.056	0.057	0.066	0.062	0.074	0.137	0.058	0.052	0.067	0.061	0.057	0.054	0.065	0.066	0.067	0.058	0.080	0.064	0.369	0.686	0.258	1.022	1.001	0.844
0:00.72	0.057	0.055	0.060	0.036	0.038	0.038	0.057	0.057	0.060	0.080	0.067	0.076	0.045	0.053	0.048	0.061	0.056	0.096	0.046	0.052	0.051	0.054	0.047	0.075	0.056	0.057	0.066	0.062	0.074	0.137	0.058	0.053	0.066	0.060	0.057	0.054	0.065	0.066	0.067	0.057	0.080	0.063	0.366	0.688	0.257	1.020	1.000	0.844
0:00.81	0.056	0.055	0.060	0.035	0.038	0.038	0.056	0.057	0.060	0.080	0.067	0.076	0.045	0.053	0.048	0.061	0.055	0.096	0.046	0.052	0.051	0.054	0.047	0.074	0.055	0.057	0.066	0.061	0.074	0.137	0.058	0.052	0.067	0.060	0.057	0.054	0.065	0.066	0.066	0.057	0.079	0.063	0.364	0.684	0.255	1.024	1.002	0.842
0:00.90	0.056	0.054	0.060	0.036	0.038	0.038	0.056	0.056	0.060	0.079	0.066	0.075	0.044	0.053	0.048	0.060	0.055	0.095	0.046	0.052	0.051	0.054	0.047	0.075	0.055	0.057	0.066	0.061	0.074	0.136	0.058	0.052	0.066	0.060	0.057	0.054	0.064	0.066	0.066	0.057	0.079	0.063	0.362	0.687	0.257	1.022	0.999	0.842
0:00.99	0.056	0.054	0.059	0.036	0.038	0.038	0.056	0.056	0.060	0.079	0.066	0.075	0.044	0.053	0.047	0.060	0.055	0.095	0.045	0.052	0.051	0.055	0.047	0.074	0.055	0.056	0.066	0.061	0.074	0.136	0.058	0.052	0.067	0.060	0.057	0.054	0.064	0.066	0.066	0.056	0.078	0.063	0.364	0.688	0.254	1.022	0.999	0.845
0:01.08	0.055	0.054	0.059	0.036	0.038	0.038	0.056	0.056	0.060	0.079	0.066	0.075	0.044	0.052	0.047	0.060	0.055	0.095	0.045	0.052	0.051	0.055	0.047	0.075	0.055	0.056	0.065	0.061	0.074	0.136	0.058	0.052	0.066	0.060	0.057	0.053	0.064	0.065	0.066	0.056	0.078	0.063	0.362	0.688	0.252	1.023	0.998	0.844
0:01.17	0.055	0.053	0.059	0.036	0.038	0.038	0.056	0.056	0.060	0.079	0.066	0.074	0.044	0.052	0.047	0.060	0.055	0.095	0.045	0.052	0.051	0.055	0.047	0.074	0.055	0.056	0.065	0.061	0.074	0.135	0.058	0.052	0.066	0.060	0.057	0.053	0.064	0.065	0.065	0.056	0.078	0.062	0.363	0.692	0.252	1.025	0.998	0.843
0:01.26	0.055	0.053	0.059	0.036	0.038	0.038	0.055	0.055	0.059	0.078	0.065	0.075	0.044	0.052	0.047	0.060	0.055	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.056	0.065	0.061	0.073	0.135	0.058	0.052	0.067	0.060	0.057	0.053	0.064	0.065	0.065	0.056	0.077	0.062	0.361	0.696	0.251	1.025	1.001	0.843
0:01.35	0.055	0.053	0.059	0.036	0.038	0.038	0.055	0.055	0.059	0.078	0.065	0.074	0.044	0.052	0.047	0.060	0.055	0.095	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.056	0.065	0.061	0.073	0.134	0.058	0.052	0.066	0.060	0.056	0.053	0.063	0.065	0.065	0.056	0.077	0.062	0.363	0.698	0.250	1.020	1.001	0.845
0:01.44	0.055	0.053	0.058	0.036	0.038	0.038	0.055	0.055	0.059	0.077	0.065	0.073	0.044	0.052	0.047	0.060	0.055	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.061	0.073	0.135	0.057	0.052	0.066	0.060	0.057	0.053	0.063	0.065	0.065	0.055	0.077	0.062	0.363	0.691	0.252	1.021	1.001	0.845
0:01.53	0.054	0.052	0.058	0.036	0.038	0.038	0.055	0.055	0.059	0.077	0.065	0.074	0.044	0.052	0.047	0.060	0.055	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.061	0.073	0.135	0.058	0.052	0.066	0.059	0.056	0.053	0.063	0.065	0.065	0.055	0.077	0.062	0.364	0.689	0.253	1.021	1.001	0.846
0:01.62	0.054	0.052	0.058	0.036	0.038	0.038	0.055	0.054	0.059	0.077	0.065	0.073	0.044	0.052	0.046	0.059	0.054	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.061	0.073	0.133	0.058	0.052	0.066	0.060	0.056	0.053	0.063	0.065	0.064	0.055	0.077	0.062	0.362	0.687	0.254	1.023	1.003	0.846
0:01.71	0.054	0.052	0.058	0.036	0.038	0.038	0.055	0.054	0.059	0.077	0.064	0.073	0.044	0.052	0.046	0.059	0.054	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.061	0.073	0.134	0.058	0.052	0.066	0.059	0.056	0.053	0.063	0.065	0.064	0.055	0.077	0.062	0.360	0.686	0.253	1.020	1.003	0.845
0:01.80	0.054	0.052	0.057	0.035	0.038	0.038	0.054	0.054	0.059	0.077	0.064	0.072	0.044	0.052	0.046	0.059	0.054	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.060	0.073	0.133	0.058	0.052	0.066	0.059	0.056	0.053	0.062	0.065	0.064	0.055	0.076	0.061	0.360	0.684	0.254	1.022	0.998	0.846
0:01.89	0.053	0.052	0.057	0.036	0.038	0.038	0.054	0.054	0.059	0.077	0.064	0.073	0.044	0.052	0.046	0.059	0.054	0.094	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.060	0.073	0.133	0.057	0.052	0.066	0.059	0.056	0.053	0.062	0.064	0.064	0.054	0.076	0.061	0.358	0.681	0.252	1.022	0.999	0.845
0:01.98	0.053	0.052	0.057	0.036	0.038	0.038	0.054	0.054	0.059	0.076	0.064	0.072	0.044	0.052	0.046	0.059	0.054	0.093	0.045	0.052	0.051	0.054	0.047	0.075	0.054	0.055	0.065	0.060	0.073	0.133	0.058	0.052	0.066	0.059	0.056	0.053	0.062	0.064	0.064	0.054	0.076	0.061	0.359	0.676	0.254	1.021	0.999	0.845
0:02.07	0.053	0.051	0.057	0.036	0.038	0.038	0.054	0.053	0.058	0.076	0.064	0.072	0.044	0.052	0.046	0.059	0.054	0.092	0.045	0.052	0.051	0.054	0.047	0.075	0.053	0.055	0.065	0.060	0.072	0.132	0.058	0.052	0.066	0.059	0.056	0.053	0.062	0.064	0.064	0.054	0.076	0.061	0.360	0.678	0.253	1.021	0.997	0.844
0:02.16	0.053	0.051	0.057	0.036	0.038	0.038	0.054	0.053	0.058	0.076	0.064	0.072	0.043	0.052	0.046	0.059	0.054	0.093	0.045	0.052	0.051	0.055	0.047	0.075	0.054	0.054	0.065	0.060	0.072	0.133	0.057	0.052	0.066	0.059	0.056	0.053	0.062	0.064	0.064	0.054	0.076	0.061	0.357	0.679	0.252	1.024	0.998	0.846
0:02.25	0.053	0.051	0.056	0.035	0.038	0.038	0.054	0.053	0.058	0.076	0.064	0.072	0.043	0.052	0.046	0.059	0.054	0.093	0.045	0.052	0.051	0.055	0.047	0.075	0.053	0.054	0.064	0.060	0.072	0.132	0.057	0.052	0.066	0.059	0.056	0.052	0.062	0.064	0.063	0.054	0.075	0.061	0.355	0.679	0.251	1.026	1.001	0.844
0:02.34	0.053	0.051	0.056	0.036	0.038	0.038	0.054	0.053	0.058	0.075	0.063	0.072	0.043	0.052	0.046	0.059	0.054	0.093	0.045	0.052	0.051	0.054	0.047	0.075	0.053	0.054	0.064	0.060	0.072	0.133	0.057	0.051	0.066	0.059	0.056	0.052	0.062	0.064	0.063	0.054	0.076	0.061	0.357	0.678	0.253	1.023	1.000	0.845
0:02.43	0.053	0.051	0.056	0.036	0.038	0.038	0.053	0.053	0.058	0.076	0.063	0.071	0.043	0.052	0.046	0.059	0.054	0.094	0.045	0.052	0.051	0.055	0.047	0.075	0.053	0.054	0.064	0.060	0.072	0.132	0.057	0.052	0.066	0.059	0.056	0.052	0.062	0.064	0.063	0.054	0.075	0.061	0.360	0.680	0.251	1.022	1.004	0.845
0:02.52	0.053	0.051	0.056	0.036	0.038	0.038	0.053	0.053	0.058	0.075	0.063	0.071	0.043	0.052	0.046	0.059	0.053	0.093	0.045	0.052	0.051	0.054	0.047	0.075	0.053	0.054	0.064	0.060	0.072	0.132	0.057	0.051	0.066	0.059	0.056	0.052	0.061	0.064	0.063	0.053	0.075	0.061	0.358	0.681	0.251	1.023	1.001	0.843
0:02.61	0.052	0.051	0.056	0.036	0.038	0.038	0.053	0.053	0.058	0.075	0.063	0.071	0.043	0.052	0.046	0.059	0.053	0.093	0.044	0.052	0.051	0.055	0.048	0.075	0.053	0.054	0.064	0.060	0.072	0.132	0.057	0.051	0.066	0.059	0.056	0.052	0.061	0.063	0.063	0.053	0.075	0.061	0.359	0.684	0.252	1.023	0.998	0.844
0:02.70	0.052	0.051	0.055	0.036	0.038	0.038	0.053	0.053	0.058	0.075	0.063	0.071	0.043	0.052	0.046	0.058	0.053	0.093	0.045	0.052	0.051	0.054	0.047	0.074	0.053	0.054	0.064	0.060	0.072	0.132	0.057	0.052	0.066	0.059	0.056	0.052	0.061	0.063	0.063	0.053	0.075	0.061	0.362	0.682	0.251	1.026	0.999	0.843
0:02.79	0.052	0.051	0.055	0.036	0.038	0.038	0.053	0.052	0.058	0.075	0.063	0.071	0.043	0.052	0.046	0.058	0.053	0.093	0.045	0.052	0.051	0.054	0.048	0.075	0.053	0.054	0.064	0.060	0.071	0.132	0.057	0.052	0.066	0.059	0.056	0.052	0.061	0.063	0.062	0.053	0.075	0.061	0.359	0.681	0.251	1.023	1.002	0.844
0:02.88	0.052	0.051	0.055	0.036	0.038	0.038	0.053	0.052	0.058	0.075	0.063	0.071	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.054	0.047	0.074	0.053	0.054	0.064	0.059	0.071	0.132	0.057	0.052	0.066	0.059	0.056	0.052	0.061	0.063	0.062	0.053	0.075	0.061	0.360	0.680	0.250	1.021	0.997	0.844
0:02.97	0.052	0.050	0.055	0.036	0.038	0.038	0.053	0.052	0.058	0.075	0.063	0.071	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.055	0.047	0.074	0.053	0.054	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.062	0.053	0.075	0.061	0.360	0.678	0.249	1.021	1.000	0.846
0:03.06	0.052	0.050	0.055	0.035	0.038	0.038	0.053	0.052	0.057	0.075	0.063	0.070	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.055	0.047	0.074	0.053	0.054	0.064	0.059	0.071	0.132	0.057	0.051	0.066	0.059	0.055	0.052	0.061	0.063	0.062	0.053	0.074	0.060	0.360	0.679	0.250	1.023	0.997	0.844
0:03.15	0.052	0.050	0.054	0.036	0.039	0.038	0.053	0.052	0.057	0.074	0.063	0.070	0.043	0.052	0.045	0.058	0.053	0.092	0.045	0.052	0.051	0.054	0.048	0.075	0.053	0.053	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.062	0.053	0.074	0.060	0.361	0.682	0.252	1.024	1.002	0.845
0:03.24	0.052	0.050	0.054	0.036	0.038	0.038	0.052	0.052	0.058	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.054	0.048	0.074	0.053	0.053	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.062	0.053	0.074	0.060	0.362	0.679	0.251	1.025	1.000	0.843
0:03.33	0.051	0.050	0.054	0.036	0.038	0.038	0.052	0.052	0.057	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.054	0.047	0.074	0.053	0.053	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.062	0.053	0.074	0.060	0.363	0.682	0.249	1.023	1.003	0.844
0:03.42	0.051	0.050	0.054	0.036	0.038	0.038	0.052	0.052	0.057	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.053	0.091	0.044	0.052	0.051	0.055	0.048	0.074	0.053	0.053	0.064	0.059	0.071	0.130	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.061	0.053	0.074	0.060	0.362	0.682	0.251	1.022	1.001	0.844
0:03.51	0.051	0.050	0.054	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.053	0.091	0.044	0.052	0.051	0.054	0.047	0.075	0.053	0.053	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.061	0.053	0.074	0.060	0.360	0.682	0.250	1.022	1.003	0.844
0:03.60	0.051	0.050	0.054	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.055	0.048	0.075	0.053	0.053	0.064	0.059	0.071	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.062	0.052	0.074	0.060	0.362	0.681	0.250	1.021	0.999	0.845
0:03.69	0.051	0.050	0.054	0.035	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.069	0.043	0.051	0.045	0.058	0.053	0.092	0.045	0.051	0.051	0.054	0.047	0.075	0.052	0.053	0.064	0.059	0.070	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.061	0.063	0.061	0.052	0.074	0.060	0.363	0.678	0.250	1.024	0.999	0.844
0:03.78	0.051	0.050	0.053	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.070	0.043	0.051	0.045	0.058	0.053	0.091	0.044	0.052	0.051	0.054	0.048	0.075	0.053	0.053	0.064	0.059	0.070	0.131	0.057	0.051	0.066	0.058	0.055	0.052	0.060	0.062	0.061	0.052	0.074	0.060	0.360	0.680	0.250	1.023	1.001	0.846
0:03.87	0.051	0.049	0.054	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.070	0.043	0.052	0.045	0.058	0.052	0.091	0.044	0.052	0.051	0.054	0.047	0.075	0.053	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.052	0.060	0.062	0.061	0.052	0.073	0.060	0.362	0.677	0.249	1.021	1.000	0.845
0:03.96	0.051	0.049	0.053	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.069	0.043	0.052	0.045	0.058	0.053	0.092	0.044	0.052	0.051	0.054	0.047	0.074	0.053	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.052	0.060	0.062	0.061	0.052	0.073	0.060	0.360	0.678	0.249	1.024	0.999	0.843
0:04.05	0.051	0.049	0.053	0.036	0.038	0.038	0.052	0.051	0.057	0.074	0.062	0.069	0.043	0.051	0.045	0.058	0.053	0.092	0.045	0.052	0.051	0.055	0.047	0.075	0.052	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.052	0.060	0.062	0.061	0.052	0.073	0.060	0.362	0.678	0.250	1.025	1.000	0.843
0:04.14	0.051	0.049	0.053	0.036	0.038	0.038	0.052	0.051	0.057	0.073	0.062	0.069	0.043	0.051	0.045	0.058	0.053	0.091	0.044	0.052	0.051	0.055	0.047	0.074	0.053	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.362	0.678	0.249	1.022	0.998	0.846
0:04.23	0.051	0.049	0.053	0.036	0.038	0.038	0.051	0.051	0.057	0.073	0.062	0.069	0.043	0.051	0.045	0.058	0.052	0.091	0.044	0.052	0.051	0.055	0.047	0.074	0.052	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.363	0.678	0.250	1.022	1.000	0.844
0:04.32	0.051	0.049	0.053	0.036	0.038	0.038	0.051	0.051	0.057	0.073	0.061	0.069	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.051	0.051	0.054	0.047	0.074	0.052	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.361	0.676	0.250	1.023	1.000	0.844
0:04.41	0.051	0.049	0.053	0.036	0.038	0.038	0.051	0.051	0.057	0.073	0.061	0.069	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.052	0.051	0.054	0.047	0.074	0.052	0.053	0.064	0.058	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.362	0.676	0.251	1.023	0.998	0.845
0:04.50	0.051	0.049	0.053	0.035	0.038	0.038	0.051	0.051	0.057	0.073	0.061	0.068	0.043	0.052	0.045	0.057	0.052	0.091	0.045	0.052	0.051	0.055	0.048	0.074	0.052	0.053	0.063	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.362	0.680	0.249	1.024	0.998	0.846
0:04.59	0.051	0.049	0.052	0.036	0.038	0.038	0.051	0.051	0.057	0.073	0.061	0.068	0.043	0.052	0.045	0.058	0.052	0.091	0.044	0.051	0.051	0.054	0.048	0.074	0.052	0.053	0.064	0.059	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.059	0.361	0.679	0.251	1.023	0.998	0.844
0:04.68	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.051	0.057	0.073	0.061	0.068	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.052	0.051	0.055	0.048	0.074	0.052	0.053	0.063	0.058	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.060	0.360	0.677	0.249	1.023	0.997	0.846
0:04.77	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.051	0.056	0.073	0.061	0.069	0.043	0.051	0.045	0.057	0.052	0.090	0.045	0.052	0.051	0.054	0.048	0.074	0.052	0.053	0.063	0.058	0.070	0.129	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.059	0.361	0.677	0.249	1.021	1.001	0.845
0:04.86	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.073	0.061	0.068	0.043	0.052	0.045	0.057	0.052	0.091	0.045	0.051	0.051	0.054	0.048	0.074	0.052	0.053	0.063	0.058	0.070	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.061	0.052	0.073	0.059	0.359	0.674	0.249	1.025	0.999	0.846
0:04.95	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.073	0.061	0.068	0.043	0.052	0.045	0.057	0.052	0.091	0.044	0.052	0.051	0.055	0.048	0.074	0.052	0.053	0.063	0.058	0.070	0.129	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.060	0.052	0.073	0.059	0.358	0.680	0.249	1.023	0.999	0.844
0:05.04	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.073	0.061	0.068	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.051	0.051	0.054	0.048	0.074	0.052	0.053	0.063	0.058	0.069	0.130	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.060	0.052	0.072	0.059	0.359	0.677	0.249	1.021	1.000	0.844
0:05.13	0.050	0.049	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.072	0.061	0.068	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.051	0.051	0.054	0.048	0.075	0.052	0.052	0.063	0.058	0.070	0.129	0.057	0.051	0.066	0.058	0.055	0.051	0.060	0.062	0.060	0.052	0.072	0.059	0.359	0.680	0.250	1.023	0.995	0.843
0:05.22	0.050	0.048	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.072	0.061	0.068	0.043	0.052	0.045	0.057	0.052	0.091	0.044	0.051	0.051	0.054	0.047	0.075	0.052	0.052	0.063	0.058	0.069	0.130	0.057	0.051	0.066	0.057	0.054	0.051	0.060	0.062	0.060	0.052	0.072	0.059	0.359	0.674	0.250	1.023	1.004	0.844
0:05.31	0.050	0.048	0.052	0.035	0.038	0.038	0.051	0.050	0.056	0.072	0.061	0.068	0.043	0.054	0.045	0.057	0.052	0.090	0.045	0.051	0.051	0.054	0.047	0.075	0.052	0.052	0.063	0.058	0.069	0.130	0.056	0.051	0.066	0.057	0.054	0.051	0.060	0.062	0.060	0.052	0.072	0.059	0.360	0.681	0.248	1.023	0.999	0.842
0:05.40	0.050	0.048	0.052	0.035	0.038	0.038	0.051	0.050	0.056	0.072	0.061	0.068	0.043	0.052	0.045	0.057	0.052	0.091	0.044	0.052	0.051	0.055	0.048	0.074	0.052	0.052	0.063	0.058	0.069	0.130	0.057	0.051	0.066	0.057	0.055	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.356	0.678	0.247	1.024	0.997	0.843
0:05.49	0.050	0.048	0.052	0.036	0.038	0.038	0.051	0.050	0.056	0.072	0.060	0.068	0.043	0.051	0.045	0.057	0.052	0.090	0.044	0.051	0.051	0.055	0.048	0.074	0.052	0.052	0.063	0.058	0.069	0.129	0.057	0.051	0.066	0.057	0.054	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.358	0.676	0.250	1.024	0.997	0.842
0:05.58	0.050	0.048	0.051	0.036	0.038	0.038	0.050	0.050	0.056	0.072	0.060	0.068	0.043	0.051	0.045	0.057	0.052	0.090	0.045	0.052	0.051	0.055	0.048	0.074	0.052	0.052	0.063	0.058	0.069	0.129	0.057	0.051	0.066	0.057	0.054	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.359	0.677	0.249	1.025	0.999	0.844
0:05.67	0.050	0.048	0.051	0.036	0.038	0.038	0.050	0.050	0.056	0.072	0.060	0.068	0.043	0.053	0.045	0.057	0.052	0.090	0.044	0.051	0.051	0.054	0.048	0.074	0.052	0.052	0.063	0.058	0.069	0.130	0.057	0.051	0.066	0.057	0.054	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.358	0.675	0.248	1.022	1.000	0.844
0:05.76	0.050	0.048	0.051	0.036	0.038	0.038	0.050	0.050	0.056	0.072	0.060	0.068	0.043	0.051	0.045	0.057	0.052	0.090	0.045	0.052	0.051	0.054	0.048	0.075	0.052	0.052	0.063	0.058	0.069	0.129	0.056	0.051	0.066	0.057	0.054	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.358	0.677	0.249	1.021	1.000	0.848
0:05.85	0.050	0.048	0.051	0.035	0.039	0.038	0.050	0.050	0.056	0.072	0.060	0.068	0.043	0.051	0.045	0.057	0.052	0.091	0.044	0.051	0.051	0.054	0.048	0.075	0.052	0.052	0.063	0.058	0.069	0.129	0.057	0.051	0.066	0.057	0.054	0.051	0.060	0.061	0.060	0.051	0.072	0.059	0.361	0.677	0.250	1.020	1.003	0.844
